time,value
13:29:38,78
13:29:53,78
13:29:58,77
13:30:08,76
13:30:13,77
13:30:23,77
13:30:28,77
13:30:33,77
13:30:38,78
13:30:53,78
13:30:58,77
13:31:03,77
13:31:13,76
13:31:23,75
13:31:38,75
13:31:53,75
13:32:08,75
13:32:18,76
13:32:23,75
13:32:28,75
13:32:33,75
13:32:38,76
13:32:43,76
13:32:48,78
13:33:03,78
13:33:18,78
13:33:33,78
13:33:35,79
13:33:40,79
13:33:50,81
13:33:55,82
13:34:00,84
13:34:05,86
13:34:10,90
13:34:15,92
13:34:25,94
13:34:40,94
13:34:45,99
13:34:50,99
13:34:55,99
13:35:00,99
13:35:10,98
13:35:15,100
13:35:25,99
13:35:40,99
13:35:45,104
13:35:55,82
13:36:00,78
13:36:10,79
13:36:15,80
13:36:22,81
13:36:32,81
13:36:37,81
13:36:42,72
13:36:47,71
13:37:02,69
13:37:07,67
13:37:12,68
13:37:22,67
13:37:27,66
13:37:32,67
13:37:42,67
13:37:57,67
13:38:02,69
13:38:12,69
13:38:17,68
13:38:22,70
13:38:27,70
13:38:32,70
13:38:47,70
13:38:57,71
13:39:02,75
13:39:17,75
13:39:22,73
13:39:28,72
13:39:43,73
13:39:58,73
13:40:03,76
13:40:18,76
13:40:23,76
13:40:33,75
13:40:43,74
13:40:53,75
13:41:08,75
13:41:23,74
13:41:28,75
13:41:43,75
13:41:48,76
13:41:53,77
13:42:08,77
13:42:23,76
13:42:33,80
13:42:38,78
13:42:43,77
13:42:48,78
13:42:58,79
13:43:05,78
13:43:10,80
13:43:15,81
13:43:20,77
13:43:25,79
13:43:30,76
13:43:40,75
13:43:55,75
13:46:07,79
13:46:22,77
13:46:27,78
13:46:32,78
13:46:47,77
13:47:02,77
13:47:17,77
13:47:22,77
13:47:27,74
13:47:42,74
13:47:47,73
13:47:52,73
13:47:57,73
13:48:02,74
13:48:17,74
13:48:22,73
13:48:37,73
13:48:47,72
13:49:02,72
13:49:17,72
13:49:32,72
13:49:47,72
13:49:52,74
13:49:57,75
13:50:04,75
13:50:19,74
13:50:34,74
13:50:49,74
13:51:04,74
13:51:09,75
13:51:14,78
13:51:19,82
13:51:24,88
13:51:39,88
13:51:54,88
13:51:59,86
13:52:04,84
13:52:09,80
13:52:14,78
13:52:19,77
13:52:24,76
13:52:29,77
13:52:34,76
13:52:39,77
13:52:44,78
13:52:49,79
13:52:59,81
13:53:09,80
13:53:14,80
13:53:19,80
13:53:24,81
13:53:31,80
13:53:41,82
13:53:51,81
13:53:56,80
13:54:01,78
13:54:06,79
13:54:16,80
13:54:21,79
13:54:26,77
13:54:41,77
13:54:46,76
13:55:01,76
13:55:06,77
13:55:11,76
13:55:16,78
13:55:21,80
13:55:31,77
13:55:36,76
13:55:41,74
13:55:46,73
13:55:56,74
13:56:01,73
13:56:11,72
13:56:21,73
13:56:26,75
13:56:31,74
13:56:38,74
13:56:43,72
13:56:48,71
13:56:58,71
13:57:03,73
13:57:08,71
13:57:13,72
13:57:23,73
13:57:38,73
13:57:48,74
13:57:58,76
13:58:03,77
13:58:13,76
13:58:23,77
13:58:28,78
13:58:33,77
13:58:43,76
13:58:48,75
13:59:03,75
13:59:13,75
13:59:18,78
13:59:23,76
13:59:28,75
13:59:33,74
13:59:38,72
13:59:45,73
14:00:00,74
14:00:05,73
14:00:10,74
14:00:15,75
14:00:20,74
14:00:25,73
14:00:30,77
14:00:40,75
14:00:45,74
14:00:50,73
14:00:55,72
14:01:00,72
14:01:05,73
14:01:10,74
14:01:15,75
14:01:20,76
14:01:25,75
14:01:30,74
14:01:40,78
14:01:55,78
14:02:00,74
14:02:05,72
14:02:15,77
14:02:20,79
14:02:25,77
14:02:31,75
14:02:41,74
14:02:46,74
14:03:01,74
14:03:16,74
14:03:21,76
14:03:31,78
14:03:36,78
14:03:51,78
14:03:56,79
14:04:01,78
14:04:06,76
14:04:11,74
14:04:16,73
14:04:26,76
14:04:31,79
14:04:36,78
14:04:46,77
14:05:01,77
14:05:06,79
14:05:11,78
14:05:21,79
14:05:36,79
14:05:41,84
14:05:48,82
14:05:53,81
14:05:58,79
14:06:03,78
14:06:08,77
14:06:13,75
14:06:18,74
14:06:23,75
14:06:28,78
14:06:33,76
14:06:38,75
14:06:48,76
14:06:53,75
14:06:58,74
14:07:13,74
14:07:23,74
14:07:28,72
14:07:33,71
14:07:38,72
14:07:43,73
14:07:48,72
14:08:03,72
14:08:08,72
14:08:13,69
14:08:18,70
14:08:24,70
14:08:29,71
14:08:39,71
14:08:44,68
14:08:49,70
14:08:54,69
14:09:09,69
14:09:14,74
14:09:19,75
14:09:24,74
14:09:29,73
14:09:34,75
14:09:44,73
14:09:54,72
14:09:59,71
14:10:04,70
14:10:09,73
14:10:19,75
14:10:24,76
14:10:39,76
14:10:44,75
14:10:54,73
14:10:59,74
14:11:04,71
14:11:09,70
14:11:24,70
14:11:26,69
14:11:31,70
14:11:36,71
14:11:46,71
14:11:51,70
14:11:56,69
14:12:06,68
14:12:11,67
14:12:16,67
14:12:21,66
14:12:26,67
14:12:41,67
14:12:46,67
14:12:51,69
14:12:56,68
14:13:01,69
14:13:06,68
14:13:21,68
14:13:31,70
14:13:36,72
14:13:41,71
14:13:51,70
14:13:56,71
14:14:01,73
14:14:16,73
14:14:26,75
14:14:33,75
14:14:38,74
14:14:43,73
14:14:48,75
14:14:53,76
14:15:03,74
14:15:08,73
14:15:13,72
14:15:18,73
14:15:23,76
14:15:28,75
14:15:38,74
14:15:48,73
14:15:58,77
14:16:03,73
14:16:08,72
14:16:13,71
14:16:18,70
14:16:28,71
14:16:33,72
14:16:38,71
14:16:43,70
14:16:58,70
14:17:03,70
14:17:08,72
14:17:13,75
14:17:19,81
14:17:24,79
14:17:29,77
14:17:34,76
14:17:39,72
14:17:44,71
14:17:54,75
14:17:59,73
14:18:04,72
14:18:19,72
14:18:29,75
14:18:34,74
14:18:39,73
14:18:44,75
14:18:54,72
14:18:59,72
14:19:09,71
14:19:24,71
14:19:29,72
14:19:44,72
14:19:54,72
14:20:04,73
14:20:09,74
14:20:14,75
14:20:19,76
14:20:34,76
14:20:36,76
14:20:41,77
14:20:46,79
14:20:51,81
14:21:06,84
14:21:21,84
14:21:26,85
14:21:41,85
14:21:56,85
14:22:11,85
14:22:21,77
14:22:26,77
14:22:41,77
14:22:56,76
14:23:06,76
14:23:21,76
14:23:26,65
14:23:36,64
14:23:41,66
14:23:46,67
14:23:51,68
